IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,AGO,Angola,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2473.00,,,314.6,,5190,2473 [314.6 – 5190],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,AGO,Angola,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1407.00,,,179,,2952,1407 [179 – 2952],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,AGO,Angola,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1066.00,,,135.6,,2237,1066 [135.6 – 2237],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,778.40,,,277.1,,1365,778.4 [277.1 – 1365],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,427.00,,,152,,748.5,427 [152 – 748.5],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BDI,Burundi,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,351.40,,,125.1,,616,351.4 [125.1 – 616],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BEN,Benin,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,1063.00,,,637.7,,1502,1063 [637.7 – 1502],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BEN,Benin,Year,2019,TRUE,Sex,Male,MLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,598.70,,,359.1,,846.1,598.7 [359.1 – 846.1],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BEN,Benin,Year,2019,TRUE,Sex,Female,FMLE,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,464.50,,,278.6,,656.3,464.5 [278.6 – 656.3],,,EN,2022-08-26
AIR_72,Ambient air pollution attributable deaths in children under 15 years,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2019,TRUE,Sex,Both sexes,BTSX,Cause,Lower respiratory infections,ENVCAUSE039,,,,,,,2024.00,,,916.1,,3193,2024 [916.1 – 3193],,,EN,2022-08-26
